timestamp,cwnd_before_adj,ack_received,timeout_occurred,loss_indicator,target_cwnd_after_adj
1,1.0,0,0,0,1.0
2,1.0,0,0,0,1.0
3,1.0,0,0,0,1.0
4,1.0,0,0,0,1.0
5,1.0,0,0,0,1.0
6,1.0,0,0,0,1.0
7,1.0,0,0,0,1.0
8,1.0,1,0,0,2.0
9,2.0,0,0,0,2.0
10,2.0,0,0,0,2.0
11,2.0,0,0,0,2.0
12,2.0,0,0,0,2.0
13,2.0,0,0,0,2.0
14,2.0,0,0,0,2.0
15,2.0,1,0,0,4.0
16,4.0,0,0,0,4.0
17,4.0,0,0,0,4.0
18,4.0,0,0,0,4.0
19,4.0,0,0,0,4.0
20,4.0,0,0,0,4.0
21,4.0,0,0,0,4.0
22,4.0,1,0,0,8.0
23,8.0,0,0,0,8.0
24,8.0,0,0,0,8.0
25,8.0,0,0,0,8.0
26,8.0,0,0,0,8.0
27,8.0,0,0,0,8.0
28,8.0,0,0,0,8.0
29,8.0,1,0,0,16.0
30,16.0,0,0,0,16.0
31,16.0,0,0,0,16.0
32,16.0,0,0,0,16.0
33,16.0,0,0,0,16.0
34,16.0,0,0,0,16.0
35,16.0,0,0,0,16.0
36,16.0,1,0,0,32.0
37,32.0,0,0,0,32.0
38,32.0,0,0,0,32.0
39,32.0,0,0,0,32.0
40,32.0,0,0,0,32.0
41,32.0,0,0,0,32.0
42,32.0,0,0,0,32.0
43,32.0,1,0,0,32.875
44,32.875,0,0,0,32.875
45,32.875,0,0,0,32.875
46,32.875,0,0,0,32.875
47,32.875,0,0,0,32.875
48,32.875,0,0,0,32.875
49,32.875,0,0,0,32.875
50,32.875,1,0,0,33.6962927756654
51,33.6962927756654,0,1,1,1.0
52,1.0,0,0,0,1.0
53,1.0,0,0,0,1.0
54,1.0,0,0,0,1.0
55,1.0,0,0,0,1.0
56,1.0,0,0,0,1.0
57,1.0,1,0,0,29.0
58,29.0,0,1,1,1.0
59,1.0,0,0,0,1.0
60,1.0,0,0,0,1.0
61,1.0,0,0,0,1.0
62,1.0,0,0,0,1.0
63,1.0,0,0,0,1.0
64,1.0,1,0,0,29.0
65,29.0,0,0,0,29.0
66,29.0,0,0,0,29.0
67,29.0,0,0,0,29.0
68,29.0,0,0,0,29.0
69,29.0,0,0,0,29.0
70,29.0,0,0,0,29.0
71,29.0,1,0,0,30.0
72,30.0,0,0,0,30.0
73,30.0,0,0,0,30.0
74,30.0,0,0,0,30.0
75,30.0,0,0,0,30.0
76,30.0,0,0,0,30.0
77,30.0,0,0,0,30.0
78,30.0,1,0,0,31.0
79,31.0,0,0,0,31.0
80,31.0,0,0,0,31.0
81,31.0,0,0,0,31.0
82,31.0,0,0,0,31.0
83,31.0,0,0,0,31.0
84,31.0,0,0,0,31.0
85,31.0,1,0,0,31.967741935483872
86,31.967741935483872,0,0,0,31.967741935483872
87,31.967741935483872,0,0,0,31.967741935483872
88,31.967741935483872,0,0,0,31.967741935483872
89,31.967741935483872,0,0,0,31.967741935483872
90,31.967741935483872,0,0,0,31.967741935483872
91,31.967741935483872,0,0,0,31.967741935483872
92,31.967741935483872,1,0,0,32.87490641580678
93,32.87490641580678,0,1,1,1.0
94,1.0,0,0,0,1.0
95,1.0,0,0,0,1.0
96,1.0,0,0,0,1.0
97,1.0,0,0,0,1.0
98,1.0,0,0,0,1.0
99,1.0,1,0,0,31.0
100,31.0,0,1,1,1.0
101,1.0,0,0,0,1.0
102,1.0,0,0,0,1.0
103,1.0,0,0,0,1.0
104,1.0,0,0,0,1.0
105,1.0,0,0,0,1.0
106,1.0,1,0,0,31.0
107,31.0,0,0,0,31.0
108,31.0,0,0,0,31.0
109,31.0,0,0,0,31.0
110,31.0,0,0,0,31.0
111,31.0,0,0,0,31.0
112,31.0,0,0,0,31.0
113,31.0,1,0,0,31.967741935483872
114,31.967741935483872,0,0,0,31.967741935483872
115,31.967741935483872,0,0,0,31.967741935483872
116,31.967741935483872,0,0,0,31.967741935483872
